path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xlsx\00014427.xlsx,.xlsx,true,false,85995,0,,,36,0,0,
testdata\web-samples\samples\xlsx\00014432.xlsx,.xlsx,true,false,4869,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00014504.xlsx,.xlsx,true,false,68011,0,,,26,0,0,
testdata\web-samples\samples\xlsx\00014523.xlsx,.xlsx,true,false,2717,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00014526.xlsx,.xlsx,true,false,8987,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00014573.xlsx,.xlsx,true,false,21295,0,,,46,0,0,
testdata\web-samples\samples\xlsx\00014574.xlsx,.xlsx,true,false,2798,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00014602.xlsx,.xlsx,true,false,119081,0,,,39,0,0,
testdata\web-samples\samples\xlsx\00014603.xlsx,.xlsx,true,false,2364,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00014617.xlsx,.xlsx,true,false,12083,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00014662.xlsx,.xlsx,true,false,10179,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00014696.xlsx,.xlsx,true,false,40817,0,,,38,0,0,
testdata\web-samples\samples\xlsx\00014712.xlsx,.xlsx,true,false,3616,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00014715.xlsx,.xlsx,true,false,263195,0,,,93,0,0,
testdata\web-samples\samples\xlsx\00014749.xlsx,.xlsx,true,false,9681,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00014755.xlsx,.xlsx,true,false,144207,0,,,46,0,0,
testdata\web-samples\samples\xlsx\00014778.xlsx,.xlsx,true,false,2045,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00014808.xlsx,.xlsx,true,false,419331,0,,,185,0,0,
testdata\web-samples\samples\xlsx\00014834.xlsx,.xlsx,true,false,712180,0,,,214,0,0,
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1190,0,0,
testdata\web-samples\samples\xlsx\00014858.xlsx,.xlsx,true,false,433691,0,,,111,0,0,
testdata\web-samples\samples\xlsx\00014872.xlsx,.xlsx,true,false,1568999,0,,,235,0,0,
testdata\web-samples\samples\xlsx\00014877.xlsx,.xlsx,true,false,31333,0,,,10,0,0,
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1092,0,0,
testdata\web-samples\samples\xlsx\00014890.xlsx,.xlsx,true,false,381576,0,,,124,0,0,
testdata\web-samples\samples\xlsx\00014892.xlsx,.xlsx,true,false,374,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00014894.xlsx,.xlsx,true,false,2680,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00014900.xlsx,.xlsx,true,false,735492,0,,,179,0,0,
testdata\web-samples\samples\xlsx\00014918.xlsx,.xlsx,true,false,4959,0,,,14,0,0,
testdata\web-samples\samples\xlsx\00014922.xlsx,.xlsx,true,false,51105,0,,,11,0,0,
testdata\web-samples\samples\xlsx\00014927.xlsx,.xlsx,true,false,288893,0,,,56,0,0,
testdata\web-samples\samples\xlsx\00014930.xlsx,.xlsx,true,false,4460,2,,,7,0,0,
testdata\web-samples\samples\xlsx\00014942.xlsx,.xlsx,true,false,30644,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00014943.xlsx,.xlsx,true,false,919271,0,,,276,0,0,
testdata\web-samples\samples\xlsx\00014955.xlsx,.xlsx,true,false,31333,0,,,8,0,0,
