path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\000706-2.doc,.doc,true,false,2386,0,,,6,0,0,
testdata\web-samples\samples\doc\000706.doc,.doc,true,false,2386,0,,,7,0,0,
testdata\web-samples\samples\doc\000707-2.doc,.doc,true,false,50740,0,,,214,0,0,
testdata\web-samples\samples\doc\000707.doc,.doc,true,false,50740,0,,,233,0,0,
testdata\web-samples\samples\doc\000759-2.doc,.doc,true,false,68007,15,,,378,0,0,
testdata\web-samples\samples\doc\000759.doc,.doc,true,false,68007,15,,,353,0,0,
testdata\web-samples\samples\doc\000771-2.doc,.doc,true,false,96057,83,,,489,0,0,
testdata\web-samples\samples\doc\000771.doc,.doc,true,false,96057,83,,,480,0,0,
testdata\web-samples\samples\doc\000788-2.doc,.doc,true,false,7922,0,,,87,0,0,
testdata\web-samples\samples\doc\000788.doc,.doc,true,false,7922,0,,,78,0,0,
testdata\web-samples\samples\doc\000795-2.doc,.doc,true,false,553967,1,,,4042,0,0,
testdata\web-samples\samples\doc\000795.doc,.doc,true,false,553967,1,,,4025,0,0,
testdata\web-samples\samples\doc\000796-2.doc,.doc,true,false,56560,0,,,369,0,0,
testdata\web-samples\samples\doc\000796.doc,.doc,true,false,56560,0,,,361,0,0,
testdata\web-samples\samples\doc\000799-2.doc,.doc,true,false,50839,0,,,193,0,0,
testdata\web-samples\samples\doc\000799.doc,.doc,true,false,50839,0,,,196,0,0,
testdata\web-samples\samples\doc\000801-2.doc,.doc,true,false,129093,63,,,568,0,0,
testdata\web-samples\samples\doc\000801.doc,.doc,true,false,129093,63,,,545,0,0,
testdata\web-samples\samples\doc\000802-2.doc,.doc,true,false,163516,0,,,459,0,0,
testdata\web-samples\samples\doc\000802.doc,.doc,true,false,163516,0,,,452,0,0,
testdata\web-samples\samples\doc\000804-2.doc,.doc,true,false,100319,0,,,271,0,0,
testdata\web-samples\samples\doc\000804.doc,.doc,true,false,100319,0,,,267,0,0,
testdata\web-samples\samples\doc\000806-2.doc,.doc,true,false,16862,0,,,143,0,0,
testdata\web-samples\samples\doc\000806.doc,.doc,true,false,16862,0,,,158,0,0,
testdata\web-samples\samples\doc\000911-2.doc,.doc,true,false,13835,0,,,76,0,0,
testdata\web-samples\samples\doc\000911.doc,.doc,true,false,13835,0,,,70,0,0,
testdata\web-samples\samples\doc\000913-2.doc,.doc,true,false,62936,0,,,447,0,0,
testdata\web-samples\samples\doc\000913.doc,.doc,true,false,62936,0,,,461,0,0,
testdata\web-samples\samples\doc\000944-2.doc,.doc,true,false,85754,0,,,355,0,0,
testdata\web-samples\samples\doc\000944.doc,.doc,true,false,85754,0,,,364,0,0,
testdata\web-samples\samples\doc\000946-2.doc,.doc,true,false,9574,0,,,28,0,0,
testdata\web-samples\samples\doc\000946.doc,.doc,true,false,9574,0,,,26,0,0,
testdata\web-samples\samples\doc\000948-2.doc,.doc,true,false,17114,1,,,47,0,0,
testdata\web-samples\samples\doc\000948.doc,.doc,true,false,17114,1,,,46,0,0,
testdata\web-samples\samples\doc\000949-2.doc,.doc,true,false,13337,0,,,63,0,0,
testdata\web-samples\samples\doc\000949.doc,.doc,true,false,13337,0,,,62,0,0,
testdata\web-samples\samples\doc\000950-2.doc,.doc,true,false,60623,2,,,254,0,0,
testdata\web-samples\samples\doc\000950.doc,.doc,true,false,60623,2,,,246,0,0,
testdata\web-samples\samples\doc\000952-2.doc,.doc,true,false,27961,0,,,110,0,0,
testdata\web-samples\samples\doc\000952.doc,.doc,true,false,27961,0,,,93,0,0,
testdata\web-samples\samples\doc\000953-2.doc,.doc,true,true,0,0,,,2,0,0,
testdata\web-samples\samples\doc\000953.doc,.doc,true,true,0,0,,,2,0,0,
testdata\web-samples\samples\doc\000957-2.doc,.doc,true,false,14757,0,,,74,0,0,
testdata\web-samples\samples\doc\000957.doc,.doc,true,false,14757,0,,,86,0,0,
testdata\web-samples\samples\doc\000958-2.doc,.doc,true,false,80748,2,,,297,0,0,
testdata\web-samples\samples\doc\000958.doc,.doc,true,false,80748,2,,,313,0,0,
testdata\web-samples\samples\doc\000960-2.doc,.doc,true,false,19984,0,,,80,0,0,
testdata\web-samples\samples\doc\000960.doc,.doc,true,false,19984,0,,,70,0,0,
testdata\web-samples\samples\doc\000961-2.doc,.doc,true,false,94156,10,,,467,0,0,
testdata\web-samples\samples\doc\000961.doc,.doc,true,false,94156,10,,,470,0,0,
testdata\web-samples\samples\doc\000963-2.doc,.doc,true,false,2036,0,,,13,0,0,
testdata\web-samples\samples\doc\000963.doc,.doc,true,false,2036,0,,,17,0,0,
testdata\web-samples\samples\doc\000964-2.doc,.doc,true,false,122775,1,,,418,0,0,
testdata\web-samples\samples\doc\000964.doc,.doc,true,false,122775,1,,,423,0,0,
testdata\web-samples\samples\doc\000965-2.doc,.doc,true,false,16603,1,,,80,0,0,
testdata\web-samples\samples\doc\000965.doc,.doc,true,false,16603,1,,,67,0,0,
testdata\web-samples\samples\doc\000966-2.doc,.doc,true,false,122794,14,,,1534,0,0,
testdata\web-samples\samples\doc\000966.doc,.doc,true,false,122794,14,,,1723,0,0,
testdata\web-samples\samples\doc\000967-2.doc,.doc,true,false,19027,0,,,132,0,0,
testdata\web-samples\samples\doc\000967.doc,.doc,true,false,19027,0,,,144,0,0,
testdata\web-samples\samples\doc\000970-2.doc,.doc,true,false,13054,0,,,284,0,0,
testdata\web-samples\samples\doc\000970.doc,.doc,true,false,13054,0,,,208,0,0,
testdata\web-samples\samples\doc\000971-2.doc,.doc,true,false,3026,0,,,14,0,0,
testdata\web-samples\samples\doc\000971.doc,.doc,true,false,3026,0,,,12,0,0,
testdata\web-samples\samples\doc\000973-2.doc,.doc,true,false,119786,0,,,600,0,0,
testdata\web-samples\samples\doc\000973.doc,.doc,true,false,119786,0,,,590,0,0,
testdata\web-samples\samples\doc\000974-2.doc,.doc,true,false,81502,6,,,249,0,0,
testdata\web-samples\samples\doc\000974.doc,.doc,true,false,81502,6,,,263,0,0,
testdata\web-samples\samples\doc\000976-2.doc,.doc,true,false,32263,0,,,152,0,0,
testdata\web-samples\samples\doc\000976.doc,.doc,true,false,32263,0,,,128,0,0,
